# Pos	VehicleClass	DriverName	CarDescription	Laps	TimeBehindLeader	TimeBehindNext	LastLap	BestLap	RaceStatus
1	Brabham BT20	Denny Hulme	BT20 #6	5	0.000	0.000	52.339	52.339	Finished
2	Brabham BT20	Jackie Bruhert	BT20 #9	4	1.478	1.478	52.390	52.390	Racing
3	Brabham BT20	Bob Longurond	BT20 #3	4	1.234	2.711	52.649	52.646	Racing
4	Brabham BT20	John Hardees	BT20 #17	4	0.198	2.909	52.480	52.480	Racing
5	Brabham BT20	Jochen Ringed	BT20 #2	4	0.295	3.204	52.445	52.445	Racing
6	Brabham BT20	Lorenzo Singtini	BT20 #14	4	0.827	4.031	52.569	52.569	Racing
7	Brabham BT20	Jim Spark	BT20 #8	4	0.429	4.460	52.429	52.429	Racing
8	Brabham BT20	Richie Spinner	BT20 #12	4	0.764	5.224	52.452	52.452	Racing
9	Brabham BT20	Don Scurlock	BT20 #21	4	1.532	6.756	52.803	52.803	Racing
10	Brabham BT20	Mike Marked	BT20 #11	4	2.478	9.234	52.997	52.997	Racing
11	Brabham BT20	Roger Grassraker	BT20 #7	4	0.551	9.785	53.777	53.512	Racing
12	Brabham BT20	Mike Cents	BT20 #27	4	0.162	9.947	54.003	54.003	Racing
13	Brabham BT20	Jack Brabham	BT20 #5	4	0.176	10.123	53.730	53.730	Racing
14	Brabham BT20	Graham Spill	BT20 #4	4	0.200	10.322	53.599	53.599	Racing
15	Brabham BT20	Max Woods	BT20 #5	4	0.286	10.608	53.685	53.301	Racing
16	Brabham BT20	Max Angelo	BT20 #27	4	0.557	11.166	53.572	53.141	Racing
17	Brabham BT20	Frank Edwards	BT20 #21	4	0.190	11.356	53.035	53.035	Racing
18	Brabham BT20	Justin Johnson	BT20 #2	4	0.605	11.961	53.331	53.331	Racing
19	Brabham BT20	Frank Fauvel	BT20 #7	4	0.366	12.326	53.089	53.089	Racing
20	Brabham BT20	Fred Sagredo	BT20 #4	4	0.562	12.889	53.803	53.803	Racing
21	Brabham BT20	Bart Johnson	BT20 #3	4	0.736	13.625	53.885	53.885	Racing
22	Brabham BT20	Michael White	BT20 #17	4	0.408	14.033	54.403	54.403	Racing
23	Brabham BT20	Fred Babineaux	BT20 #8	4	1.171	15.204	54.480	54.480	Racing
24	Brabham BT20	Max Tankslapper	BT20 #11	4	0.428	15.632	53.921	53.921	Racing
25	Brabham BT20	Vaughn Earle	BT20 #12	4	0.550	16.182	56.246	54.915	Racing
26	Brabham BT20	Chuck Haymaker	BT20 #14	4	0.196	16.378	53.824	53.824	Racing
27	Brabham BT20	Edward Schultz	BT20 #8	4	0.313	16.691	54.528	54.184	Racing
28	Brabham BT20	Xavier Lee	BT20 #6	4	2.796	19.487	53.600	53.503	Racing
29	Brabham BT20	Bera Wilson	BT20 #14	4	0.455	19.943	53.353	53.112	Racing
30	Brabham BT20	Berk Carlton	BT20 #6	4	0.116	20.058	57.656	55.422	Racing
31	Brabham BT20	Simon Carlton	BT20 #9	4	0.592	20.650	52.876	52.876	Racing
32	Brabham BT20	Marco Pavlov	BT20 #3	4	1.445	22.095	53.281	53.281	Racing
33	Brabham BT20	Fred Simplicio	BT20 #7	4	1.067	23.162	53.901	53.565	Racing
34	Brabham BT20	Carl Miller	BT20 #2	4	0.589	23.752	53.882	53.112	Racing
